name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Amsterdam, Noord-Holland, Nederland",2009-04-01,14.1,3.5,8.7,14.1,1.5,7.3,5.8,83.3,0,0,0,,0,0,43,30.4,44.9,,13,15.9,,,,,2009-04-01T07:14:43,2009-04-01T20:14:43,0.21,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-02,16.8,7,11.3,16.8,3.3,9.7,6.6,75.2,0,0,0,,0,0,45.3,31.4,54.7,,17.8,10.4,,,,,2009-04-02T07:12:23,2009-04-02T20:16:27,0.25,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-03,20.2,5.7,12.3,20.2,4.7,11.8,7.1,72.8,0,0,0,,0,0,24.9,19.2,0.5,,2.4,7.6,,,,,2009-04-03T07:10:04,2009-04-03T20:18:11,0.28,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-04,11.1,6.3,8.8,11.1,3.1,6.9,7,88.7,0,0,0,,0,0,46.7,32.1,239.5,,96.9,3.3,,,,,2009-04-04T07:07:45,2009-04-04T20:19:55,0.31,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-05,13.9,5.7,9.1,13.9,4.3,8.2,6.4,83.8,0,0,0,,0,0,24.5,16.5,358.4,1023.5,63.1,10.7,,,,,2009-04-05T07:05:27,2009-04-05T20:21:40,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-06,17.9,5.7,11.8,17.9,3.8,11,7.1,74.1,0,0,0,,0,0,27.4,14.4,104,,26.7,8.3,,,,,2009-04-06T07:03:09,2009-04-06T20:23:24,0.39,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-07,12.8,9.6,10.8,12.8,8,10.5,7.1,77.8,0,0,0,,0,0,41.1,23.4,227,,72.1,16.1,,,,,2009-04-07T07:00:51,2009-04-07T20:25:08,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-08,11.7,5.5,9.1,11.7,2.7,6.9,6.8,85.6,1.491,100,8.33,rain,0,0,57.4,35.1,192.3,1010.2,44.9,13.5,,,,,2009-04-08T06:58:34,2009-04-08T20:26:52,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-09,15.6,3.3,9.8,15.6,1.2,8.9,8,88.8,0.035,100,4.17,rain,0,0,28.1,20.1,160.1,1014,51,12.6,,,,,2009-04-09T06:56:17,2009-04-09T20:28:37,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-10,22.3,11.3,16.6,22.3,11.3,16.6,9.6,65.2,0.285,100,8.33,rain,0,0,47.3,27.1,141.5,,42.2,27.8,,,,,2009-04-10T06:54:01,2009-04-10T20:30:21,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-11,20.7,12.2,16,20.7,12.2,16,9.5,66.3,0.375,100,8.33,rain,0,0,44.9,19.7,160.6,1005.1,64.4,25.7,,,,,2009-04-11T06:51:45,2009-04-11T20:32:05,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-12,16.7,9.3,13.5,16.7,7.7,13.5,10.3,80.8,1.128,100,8.33,rain,0,0,36.9,26.6,353.5,,49.7,7.7,,,,,2009-04-12T06:49:30,2009-04-12T20:33:49,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-13,14.4,6.5,9.9,14.4,5.1,9,7.8,87.3,0,0,0,,0,0,24.9,17.2,303,1010.2,17.5,4.8,,,,,2009-04-13T06:47:16,2009-04-13T20:35:33,0.62,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-14,18,5,11.6,18,4.9,11.2,7.9,80.5,0,0,0,,0,0,27.3,17,16.8,1010.2,42.7,7.4,,,,,2009-04-14T06:45:02,2009-04-14T20:37:18,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
